Name,Location,Ranking,ProgramDetails,TuitionFees
University of Chester,UK,Not ranked,Fashion Design,"High school diploma, portfolio showcasing creativity","$8,500 per semester",Minimum 60%,6.0
University of Szeged,"Szeged, Hungary",801-1000 (THE World University Rankings 2022),BSc in Computer Science,"High school diploma, Mathematics background","EUR 3,000 per year for EU/EEA students, EUR 4,500 per year for non-EU/EEA students",Minimum GPA of 2.7 on a 4.0 scale,6.5 overall with no subscore below 5.5
University of Szeged,"Szeged, Hungary",801-1000 (THE World University Rankings 2022),MA in English Studies,Bachelor's degree in English or related field,"EUR 3,000 per year for EU/EEA students, EUR 4,500 per year for non-EU/EEA students",Minimum GPA of 3.0 on a 4.0 scale,6.5 overall with no subscore below 6.0
University of Szeged,"Szeged, Hungary",801-1000 (THE World University Rankings 2022),MSc in Biology,Bachelor's degree in Biology or related field,"EUR 3,500 per year for EU/EEA students, EUR 6,000 per year for non-EU/EEA students",Minimum GPA of 2.7 on a 4.0 scale,6.5 overall with no subscore below 5.5
University of Szeged,"Szeged, Hungary",801-1000 (THE World University Rankings 2022),PhD in Economics,Master's degree in Economics or related field,"EUR 4,500 per year for EU/EEA students, EUR 7,000 per year for non-EU/EEA students",Minimum GPA of 3.0 on a 4.0 scale,7.0 overall with no subscore below 6.5
University of Warsaw,"Warsaw, Poland",601-800 (THE World University Rankings 2022),BA in International Relations,"High school diploma, Social Sciences background","EUR 2,000 per year for EU/EEA students, EUR 3,000 per year for non-EU/EEA students",Minimum GPA of 2.5 on a 4.0 scale,6.0 overall with no subscore below 5.5
University of Warsaw,"Warsaw, Poland",601-800 (THE World University Rankings 2022),MSc in Finance and Accounting,Bachelor's degree in Finance or related field,"EUR 3,500 per year for EU/EEA students, EUR 5,000 per year for non-EU/EEA students",Minimum GPA of 2.7 on a 4.0 scale,6.5 overall with no subscore below 6.0
University of Warsaw,"Warsaw, Poland",601-800 (THE World University Rankings 2022),MA in Psychology,Bachelor's degree in Psychology or related field,"EUR 3,000 per year for EU/EEA students, EUR 4,500 per year for non-EU/EEA students",Minimum GPA of 3.0 on a 4.0 scale,6.5 overall with no subscore below 6.0
University of Warsaw,"Warsaw, Poland",601-800 (THE World University Rankings 2022),PhD in Computer Science,Master's degree in Computer Science or related field,"EUR 4,000 per year for EU/EEA students, EUR 6,500 per year for non-EU/EEA students",Minimum GPA of 3.0 on a 4.0 scale,7.0 overall with no subscore below 6.5
University of Limerick,Ireland,601-800,Bachelor of Science in Physiotherapy,"High school diploma, Biology and Chemistry background, Interview","$13,500 - $15,000",Minimum B average,6.5
University of Limerick,Ireland,601-800,Bachelor of Arts in Journalism and New Media,"High school diploma, Writing samples, Interview","$12,000 - $14,000",Minimum B average,6.5
University of Limerick,Ireland,601-800,Master of Science in Artificial Intelligence,"Bachelor's degree in Computer Science or related field, Statement of Purpose, Recommendation Letters","$15,000 - $17,000",Minimum B+ average,6.5
University of Otago,New Zealand,301-350,Bachelor of Laws,"High school diploma, Legal Studies background, Letter of Intent","$22,000 - $25,000",Minimum B+ average,7.0
University of Otago,New Zealand,301-350,Bachelor of Science in Marine Science,"High school diploma, Biology background, Letter of Recommendation","$20,000 - $23,000",Minimum B average,6.5
University of Otago,New Zealand,301-350,Master of Business Administration,"Bachelor's degree, Work Experience, GMAT score","$30,000 - $35,000",Minimum B average,7.0
University of Pretoria,South Africa,601-800,Bachelor of Arts in Psychology,"High school diploma, Psychology background, Personal Statement","$8,000 - $10,000",Minimum B average,6.5
University of Pretoria,South Africa,601-800,Bachelor of Science in Computer Engineering,"High school diploma, Mathematics and Physics background, Interview","$9,000 - $12,000",Minimum B average,6.5
University of Pretoria,South Africa,601-800,Master of Public Health,"Bachelor's degree, Health-related background, Statement of Purpose","$11,000 - $14,000",Minimum B+ average,7.0
University of Stuttgart,Germany,Not in top rankings,Mechanical Engineering,"High school diploma, Mathematics and Physics background","$1,500 per semester",Minimum GPA of 2.5,6.0
University of Stuttgart,Germany,Not in top rankings,Computer Science,"High school diploma, Basic programming knowledge","$1,800 per semester",Minimum GPA of 2.7,6.5
University of Colorado Denver,USA,Not in top rankings,Business Administration,"High school diploma, Letter of recommendation","$8,000 per semester",Minimum GPA of 2.8,6.5
University of Colorado Denver,USA,Not in top rankings,Public Health,"Bachelor's degree, Health-related background","$7,500 per semester",Minimum GPA of 3.0,7.0
University of New Brunswick,Canada,Not in top rankings,Forestry,"High school diploma, Environmental science background","$6,200 per semester",Minimum GPA of 2.7,6.0
University of New Brunswick,Canada,Not in top rankings,Nursing,"High school diploma, Biology background","$7,000 per semester",Minimum GPA of 2.8,6.5
University of Frankfurt,Germany,Not Ranked,Bachelor of Business Administration,"High school diploma or equivalent, minimum GPA of 2.5","$5,000 per year",2.5 GPA or higher,6.0
University of Frankfurt,Germany,Not Ranked,Master of Computer Science,"Bachelor's degree in computer science or related field, minimum GPA of 3.0","$7,000 per year",3.0 GPA or higher,6.5
University of Frankfurt,Germany,Not Ranked,PhD in Economics,"Master's degree in economics, research proposal","$3,000 per year",N/A,7.0
University of Toronto Mississauga,Canada,Not Ranked,Bachelor of Arts in Psychology,"High school diploma or equivalent, minimum GPA of 3.0","$8,500 per year",3.0 GPA or higher,6.5
University of Toronto Mississauga,Canada,Not Ranked,Master of Public Health,"Bachelor's degree in health-related field, statement of purpose","$10,000 per year",3.5 GPA or higher,7.0
University of Toronto Mississauga,Canada,Not Ranked,PhD in Sociology,"Master's degree in sociology, research experience","$6,000 per year",N/A,7.5
University of Leeds,UK,Not Ranked,Bachelor of Engineering in Civil Engineering,"High school diploma or equivalent, minimum GPA of 3.0","£9,000 per year",3.0 GPA or higher,6.5
University of Leeds,UK,Not Ranked,Master of Arts in English Literature,"Bachelor's degree in English or related field, writing sample","£11,000 per year",3.5 GPA or higher,7.0
University of Leeds,UK,Not Ranked,PhD in History,"Master's degree in history, research proposal","£7,000 per year",N/A,7.5
University of Hamburg,Germany,Not in the top rankings,Bachelor in Business Administration,"High school diploma, GPA of 2.5 or higher, IELTS 6.0","$3,000 per semester",GPA 2.5 or higher,6.0
University of Hamburg,Germany,Not in the top rankings,Master in Computer Science,"Bachelor's degree in relevant field, GPA of 3.0 or higher, IELTS 6.5","$4,500 per semester",GPA 3.0 or higher,6.5
University of Jammu,India,Not in the top rankings,Bachelor of Economics,"High school diploma, GPA of 2.0 or higher, IELTS 5.5","$2,500 per semester",GPA 2.0 or higher,5.5
University of Jammu,India,Not in the top rankings,Master of English Literature,"Bachelor's degree in relevant field, GPA of 3.0 or higher, IELTS 6.0","$3,800 per semester",GPA 3.0 or higher,6.0
Mount Saint Vincent University,Canada,Not in the top rankings,Bachelor of Environmental Science,"High school diploma, GPA of 2.5 or higher, IELTS 6.0","$3,600 per semester",GPA 2.5 or higher,6.0
Mount Saint Vincent University,Canada,Not in the top rankings,Master of Public Relations,"Bachelor's degree in relevant field, GPA of 3.0 or higher, IELTS 6.5","$5,000 per semester",GPA 3.0 or higher,6.5
University of Salford,UK,Not in the top rankings,Bachelor of Graphic Design,"High school diploma, GPA of 2.0 or higher, IELTS 6.0","$4,000 per semester",GPA 2.0 or higher,6.0
University of Salford,UK,Not in the top rankings,Master of Business Management,"Bachelor's degree in relevant field, GPA of 3.0 or higher, IELTS 6.5","$6,200 per semester",GPA 3.0 or higher,6.5
University of Hohenheim,Germany,Not in the top rankings,Agricultural Sciences,"High school diploma, German Abitur, or equivalent; IELTS 6.5","$1,500 per semester",Minimum GPA 2.5,6.5
University of Hohenheim,Germany,Not in the top rankings,Economics,"High school diploma, German Abitur, or equivalent; IELTS 6.0","$1,000 per semester",Minimum GPA 2.0,6.0
University of Hohenheim,Germany,Not in the top rankings,Nutritional Science,"High school diploma, German Abitur, or equivalent; IELTS 6.0","$1,200 per semester",Minimum GPA 2.0,6.0
University of West Florida,USA,Not in the top rankings,Marine Biology,High school diploma; IELTS 6.0,"$6,300 per semester",Minimum GPA 2.5,6.0
University of West Florida,USA,Not in the top rankings,Hospitality Management,High school diploma; IELTS 6.5,"$5,800 per semester",Minimum GPA 2.0,6.5
Albstadt-Sigmaringen University,Germany,Not available,International Business Management,"High school diploma, German Language Proficiency (B1), IELTS 6.0","€1,500 per semester",Minimum GPA 2.5,6.0
Albstadt-Sigmaringen University,Germany,Not available,Computer Science,"High school diploma, German Language Proficiency (B1), IELTS 6.0","€1,500 per semester",Minimum GPA 2.5,6.0
University of the West of Scotland,United Kingdom,Not available,Fashion Design,"High school diploma, Portfolio, IELTS 6.0","£12,000 per year",Minimum GPA 2.5,6.0
University of the West of Scotland,United Kingdom,Not available,Biomedical Science,"High school diploma, Science background, IELTS 6.5","£12,000 per year",Minimum GPA 3.0,6.5
University of Houston-Clear Lake,United States,Not available,Criminology,"High school diploma, Criminal Justice background, IELTS 6.0","$8,000 per semester",Minimum GPA 2.5,6.0
University of Houston-Clear Lake,United States,Not available,Hospitality Management,"High school diploma, Hospitality experience, IELTS 6.5","$8,000 per semester",Minimum GPA 2.5,6.5
University of Madras,India,Not available,Business Administration,"High school diploma, Management background, IELTS 6.0","₹50,000 per year",Minimum GPA 2.5,6.0
University of Madras,India,Not available,Computer Applications,"High school diploma, IT background, IELTS 6.5","₹50,000 per year",Minimum GPA 3.0,6.5
University of Pisa,Italy,Not in the top rankings,Computer Science,"High school diploma, Mathematics background, Letter of motivation","$3,000 per year",Minimum 70% in high school,6.0
University of Pisa,Italy,Not in the top rankings,Civil Engineering,"High school diploma, Physics and Mathematics background, Letter of motivation","$3,500 per year",Minimum 75% in high school,6.5
University of Pisa,Italy,Not in the top rankings,Economics,"High school diploma, Mathematics background, Letter of motivation","$3,200 per year",Minimum 70% in high school,6.0
University of Pisa,Italy,Not in the top rankings,Art History,"High school diploma, Letter of motivation, Portfolio (for practical courses)","$3,300 per year",Minimum 70% in high school,6.0
University of Pisa,Italy,Not in the top rankings,Psychology,"High school diploma, Letter of motivation, Academic references","$3,400 per year",Minimum 75% in high school,6.5
University of Pisa,Italy,Not in the top rankings,Biology,"High school diploma, Biology and Chemistry background, Letter of motivation","$3,200 per year",Minimum 70% in high school,6.0
University of Pisa,Italy,Not in the top rankings,Linguistics,"High school diploma, English proficiency test, Letter of motivation","$3,100 per year",Minimum 70% in high school,6.0
University of Pisa,Italy,Not in the top rankings,Political Science,"High school diploma, Letter of motivation, Academic references","$3,300 per year",Minimum 70% in high school,6.0
University of Pisa,Italy,Not in the top rankings,Physics,"High school diploma, Physics and Mathematics background, Letter of motivation","$3,500 per year",Minimum 75% in high school,6.5
University of Pisa,Italy,Not in the top rankings,Business Administration,"High school diploma, Mathematics background, Letter of motivation","$3,400 per year",Minimum 70% in high school,6.0
University of Turku,Finland,Not in the top rankings,Environmental Science,"Bachelor's degree in related field, Statement of Purpose, Academic references","$9,000 per year",Minimum GPA 3.0,6.5
University of Turku,Finland,Not in the top rankings,International Business,"Bachelor's degree in related field, Letter of motivation, CV","$10,000 per year",Minimum GPA 3.2,7.0
University of Turku,Finland,Not in the top rankings,Educational Sciences,"Bachelor's degree in Education, Statement of Purpose, Academic references","$8,500 per year",Minimum GPA 2.8,6.5
University of Turku,Finland,Not in the top rankings,Information Technology,"Bachelor's degree in IT or related field, Statement of Purpose, Academic references","$9,500 per year",Minimum GPA 3.0,6.5
University of Turku,Finland,Not in the top rankings,Public Health,"Bachelor's degree in Health Sciences, Statement of Purpose, Academic references","$9,200 per year",Minimum GPA 3.0,6.5
University of Turku,Finland,Not in the top rankings,Social Work,"Bachelor's degree in Social Sciences, Statement of Purpose, Academic references","$8,800 per year",Minimum GPA 2.8,6.5
University of Turku,Finland,Not in the top rankings,Marine Biology,"Bachelor's degree in Biology or related field, Statement of Purpose, Academic references","$9,500 per year",Minimum GPA 3.0,6.5
